jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus,random,totalPay
Data Scientist,Female,22,5,High School,Engineering,3,30201.153846153844,7670.7692307692305,0,37871.92307692308
Data Scientist,Female,45,5,PhD,Management,5,63462.564102564094,7799.230769230769,0,71261.79487179486
Software Engineer,Male,27,5,PhD,Management,4,38863.6050860409,7730.7692307692305,0,46594.374316810135
Software Engineer,Male,21,5,High School,Management,4,36435.985641936095,7523.076923076923,1,43959.06256501302
Software Engineer,Male,31,5,High School,Operations,3,49264.48040199606,6995.384615384615,0,56259.865017380675
IT,Female,33,4,College,Management,4,44573.333333333336,3618.846153846154,1,48192.17948717949
IT,Male,19,5,College,Administration,4,28447.876068912396,6940.7692307692305,1,35388.64529968162
Data Scientist,Male,29,5,PhD,Administration,5,36748.932014588274,7526.153846153846,1,44275.08586074212
Data Scientist,Male,32,5,PhD,Management,3,48665.37153961589,6694.615384615385,1,55359.98692423127
Software Engineer,Male,31,5,PhD,Sales,2,46738.416755645914,6883.846153846153,0,53622.26290949207
Warehouse Associate,Male,22,5,Masters,Engineering,2,21211.433218195143,7590.7692307692305,1,28802.202448964374
Software Engineer,Male,25,5,Masters,Sales,5,46647.37906406702,8686.923076923076,1,55334.3021409901
Software Engineer,Male,22,5,Masters,Management,3,31762.846006949876,7483.846153846153,1,39246.69216079603
Data Scientist,Female,21,4,PhD,Operations,3,28339.615384615383,3858.846153846154,1,32198.461538461535
Graphic Designer,Female,26,5,PhD,Sales,3,30064.23076923077,7958.461538461538,0,38022.692307692305
Marketing Associate,Male,21,5,College,Management,5,34208.02348610129,7249.230769230769,0,41457.25425533205
IT,Female,22,5,High School,Sales,4,40815.38461538462,7857.692307692308,0,48673.07692307692
Sales Associate,Male,18,4,Masters,Operations,5,33206.94724114775,7194.615384615385,1,40401.56262576313
Software Engineer,Male,18,4,Masters,Operations,4,32632.04675045905,7003.076923076923,0,39635.12367353597
Marketing Associate,Female,35,5,PhD,Engineering,5,51474.871794871804,7356.923076923076,0,58831.79487179488
Data Scientist,Female,33,4,Masters,Sales,2,47023.07692307692,3713.076923076923,1,50736.153846153844
Software Engineer,Female,22,4,Masters,Operations,3,35029.61538461538,6883.846153846153,0,41913.46153846154
Data Scientist,Female,24,4,College,Administration,4,28517.30769230769,6633.076923076923,0,35150.38461538462
Driver,Female,31,4,High School,Engineering,2,33318.97435897436,3417.6923076923076,1,36736.666666666664
Software Engineer,Male,40,5,PhD,Management,4,65272.13657073415,7302.307692307692,0,72574.44426304183
Data Scientist,Female,49,4,College,Operations,3,41524.61538461538,3204.230769230769,1,44728.84615384615
Marketing Associate,Female,20,5,Masters,Administration,4,30879.23076923077,7291.538461538461,0,38170.769230769234
Financial Analyst,Male,18,5,PhD,Engineering,4,39636.830839908034,7595.384615384615,1,47232.21545529265
Graphic Designer,Male,34,5,Masters,Management,3,48560.678120675744,7570,1,56130.678120675744
Warehouse Associate,Female,41,5,College,Operations,2,43822.05128205128,7356.923076923076,0,51178.97435897436
Software Engineer,Male,19,5,PhD,Administration,3,32784.37503597485,7810,1,40594.37503597485
Driver,Male,31,5,College,Management,4,45896.44771549827,7660,1,53556.44771549827
Sales Associate,Female,33,4,High School,Engineering,3,43750.76923076923,3400.3846153846152,1,47151.153846153844
Warehouse Associate,Female,53,4,College,Engineering,5,68648.71794871794,3725.7692307692305,1,72374.48717948717
Sales Associate,Male,24,5,High School,Administration,1,23008.47109423461,7109.230769230769,1,30117.70186346538
Data Scientist,Male,18,5,PhD,Administration,4,19679.961555508013,7853.076923076923,1,27533.038478584935
Data Scientist,Male,18,5,High School,Operations,2,17909.039140469242,7234.615384615385,1,25143.654525084625
Manager,Male,25,5,College,Engineering,5,56565.968493826374,8513.076923076922,1,65079.0454169033
Sales Associate,Female,31,5,College,Management,1,28529.743589743586,7320,0,35849.743589743586
Warehouse Associate,Female,31,4,PhD,Operations,5,53043.07692307692,7941.538461538461,0,60984.61538461538
Financial Analyst,Female,42,5,College,Engineering,5,59815.38461538461,6740,0,66555.38461538461
Data Scientist,Male,22,4,High School,Management,2,16891.9521126505,6607.692307692308,0,23499.644420342807
Marketing Associate,Female,23,5,PhD,Administration,3,19331.923076923078,7255.384615384615,0,26587.307692307695
Warehouse Associate,Female,36,3,College,Management,3,39260.51282051282,3166.9230769230767,1,42427.4358974359
Marketing Associate,Female,39,5,College,Sales,5,54555.89743589744,7052.307692307692,0,61608.20512820513
Warehouse Associate,Female,39,5,College,Engineering,2,41325.1282051282,7536.923076923076,0,48862.05128205128
Graphic Designer,Male,23,5,Masters,Management,3,32533.664241805633,7876.923076923076,0,40410.58731872871
Financial Analyst,Male,29,5,Masters,Engineering,5,47067.12865527448,7724.615384615385,0,54791.74403988986
Warehouse Associate,Female,25,3,Masters,Engineering,4,31673.846153846152,6728.461538461538,0,38402.30769230769
Warehouse Associate,Male,21,5,PhD,Management,1,16464.826960592174,7639.230769230769,1,24104.057729822944
Warehouse Associate,Male,28,5,High School,Engineering,2,21812.668501324646,7206.153846153846,1,29018.82234747849
Manager,Male,29,4,PhD,Engineering,5,63973.3756428386,7825.384615384615,0,71798.7602582232
Data Scientist,Female,32,5,PhD,Engineering,1,25483.589743589746,6505.384615384615,0,31988.97435897436
IT,Female,48,4,PhD,Operations,3,50221.53846153846,3406.5384615384614,1,53628.07692307692
Data Scientist,Female,38,4,Masters,Administration,5,66377.4358974359,3838.076923076923,1,70215.51282051283
Graphic Designer,Male,31,5,PhD,Engineering,1,38239.12346903563,6824.615384615385,0,45063.73885365101
Manager,Male,19,4,PhD,Sales,5,45805.87184635452,7226.923076923076,0,53032.7949232776
Software Engineer,Male,26,5,PhD,Operations,2,24110.444228611388,6449.230769230769,1,30559.674997842158
Financial Analyst,Female,36,5,Masters,Administration,3,49036.92307692308,6545.384615384615,0,55582.307692307695
Marketing Associate,Female,34,5,Masters,Engineering,1,27862.051282051278,7023.076923076923,0,34885.1282051282
Warehouse Associate,Male,49,5,High School,Sales,4,64894.055472059044,6442.307692307692,0,71336.36316436673
Software Engineer,Male,18,5,College,Operations,3,28987.098672377215,7650,1,36637.098672377215
Driver,Female,21,4,Masters,Sales,4,30796.923076923074,6711.538461538461,0,37508.46153846153
Financial Analyst,Female,47,5,High School,Sales,5,80353.84615384616,6893.076923076923,0,87246.92307692308
Graphic Designer,Female,22,4,Masters,Administration,4,38109.61538461538,7022.307692307692,0,45131.92307692308
Software Engineer,Male,29,5,High School,Management,1,32603.544664364697,6856.923076923077,1,39460.46774128777
IT,Male,55,5,College,Management,5,75296.85537811028,6770.7692307692305,0,82067.62460887952
Marketing Associate,Female,34,5,High School,Sales,5,50800.51282051281,6994.615384615385,0,57795.128205128196
Warehouse Associate,Female,48,5,College,Management,5,62483.07692307692,7786.153846153846,0,70269.23076923077
Financial Analyst,Female,43,5,PhD,Management,3,61822.564102564094,6437.692307692308,0,68260.2564102564
Financial Analyst,Female,30,4,High School,Engineering,5,57255.89743589744,3866.153846153846,1,61122.05128205128
Warehouse Associate,Female,25,3,Masters,Operations,4,36353.07692307692,3696.5384615384614,1,40049.61538461538
Financial Analyst,Female,21,4,Masters,Operations,4,36545.38461538462,6651.538461538461,0,43196.92307692308
Sales Associate,Male,28,5,PhD,Administration,1,16924.255627959763,7176.923076923076,0,24101.17870488284
IT,Male,18,5,High School,Engineering,1,15727.238867524135,7023.076923076923,0,22750.315790601057
Warehouse Associate,Male,46,5,PhD,Sales,1,44623.700137339016,6540,1,51163.700137339016
Marketing Associate,Female,29,3,Masters,Administration,5,35377.692307692305,3391.5384615384614,1,38769.230769230766
Driver,Male,32,4,PhD,Engineering,4,51504.23903503903,6319.230769230769,0,57823.46980426979
Financial Analyst,Male,26,5,College,Engineering,4,44525.43329538862,7246.923076923076,1,51772.3563723117
Warehouse Associate,Female,51,5,High School,Management,3,48812.30769230769,6650,0,55462.30769230769
Marketing Associate,Female,40,4,Masters,Administration,3,32984.61538461538,3098.4615384615386,1,36083.07692307692
Sales Associate,Female,52,5,Masters,Engineering,2,46990.76923076923,5541.538461538461,0,52532.30769230769
Financial Analyst,Female,29,4,Masters,Administration,4,35033.46153846154,6506.923076923077,0,41540.38461538462
Driver,Female,37,4,Masters,Administration,2,34508.71794871795,3214.230769230769,1,37722.94871794872
Marketing Associate,Female,23,4,Masters,Engineering,4,23958.076923076922,6612.307692307692,0,30570.384615384613
Graphic Designer,Female,18,4,PhD,Operations,3,31346.923076923074,6725.384615384615,0,38072.30769230769
Driver,Male,40,5,College,Management,2,55672.309283029295,6794.615384615385,1,62466.92466764468
Driver,Female,18,4,Masters,Administration,2,17600.76923076923,6550,0,24150.76923076923
Marketing Associate,Female,26,3,College,Management,3,25328.846153846152,3421.9230769230767,1,28750.76923076923
Data Scientist,Male,51,5,PhD,Operations,4,63964.3218831456,6648.461538461538,1,70612.78342160714
Software Engineer,Male,54,5,PhD,Administration,4,73242.1499557972,6342.307692307692,1,79584.45764810489
Driver,Male,49,5,Masters,Operations,2,42432.681337950686,6164.615384615385,1,48597.29672256607
IT,Female,26,5,College,Administration,2,22290.76923076923,7272.307692307692,0,29563.076923076922
Sales Associate,Male,58,5,High School,Engineering,5,76500.20052123906,6901.538461538461,0,83401.73898277752
IT,Female,49,5,College,Management,3,61023.07692307692,6667.692307692308,0,67690.76923076923
Financial Analyst,Female,27,4,High School,Administration,4,34864.61538461538,5777.692307692308,0,40642.30769230769
Data Scientist,Male,38,5,College,Administration,5,54676.36131747927,7119.230769230769,0,61795.592086710036
IT,Male,53,5,PhD,Management,5,78194.61880434667,7161.538461538461,0,85356.15726588512
Financial Analyst,Male,49,5,High School,Engineering,4,65912.28193098033,6376.923076923077,1,72289.20500790341
Marketing Associate,Male,26,4,High School,Engineering,5,30437.020684649076,6692.307692307692,1,37129.32837695677
Marketing Associate,Female,44,4,High School,Sales,1,30640.512820512817,2899.6153846153843,1,33540.1282051282
Graphic Designer,Male,33,5,Masters,Management,3,46598.93614528686,6536.923076923077,0,53135.85922220994
Graphic Designer,Male,22,5,PhD,Administration,1,11390.787671397327,6576.153846153846,1,17966.941517551175
Financial Analyst,Male,41,5,Masters,Engineering,3,57761.53451580124,5273.076923076923,0,63034.611438878164
Financial Analyst,Male,26,4,College,Operations,4,39829.10719738244,6001.538461538461,0,45830.6456589209
Data Scientist,Male,29,5,High School,Administration,1,23834.90609993152,6980.7692307692305,1,30815.67533070075
Driver,Female,24,4,High School,Administration,5,36188.07692307692,7980.7692307692305,0,44168.846153846156
Manager,Female,32,4,PhD,Operations,1,51691.79487179487,3439.6153846153843,1,55131.41025641025
Marketing Associate,Female,36,4,High School,Operations,5,48201.53846153846,5866.923076923077,0,54068.46153846154
Warehouse Associate,Female,41,3,Masters,Engineering,3,46468.717948717946,3412.6923076923076,1,49881.41025641025
Financial Analyst,Male,44,5,Masters,Administration,4,66110.0969904846,7188.461538461538,0,73298.55852894613
Financial Analyst,Female,43,5,High School,Sales,5,59579.48717948717,6991.538461538461,0,66571.02564102563
Warehouse Associate,Male,48,5,PhD,Management,2,42411.06584944545,7348.461538461538,1,49759.52738790699
Software Engineer,Female,28,3,PhD,Engineering,4,40739.61538461538,6448.461538461538,0,47188.07692307692
Software Engineer,Male,40,5,College,Management,1,37100.86556852774,6078.461538461538,1,43179.32710698928
Manager,Male,21,4,High School,Engineering,3,42287.503553767565,6950.7692307692305,0,49238.27278453679
Warehouse Associate,Female,19,4,College,Sales,2,26109.23076923077,6955.384615384615,0,33064.61538461538
Driver,Female,61,4,PhD,Sales,4,60289.551501193244,3258.4615384615386,1,63548.01303965478
Warehouse Associate,Female,57,4,High School,Engineering,3,44885.72191311847,3299.230769230769,1,48184.952682349234
Data Scientist,Male,28,4,Masters,Administration,5,36896.66892543655,6142.307692307692,1,43038.97661774424
Graphic Designer,Female,52,5,College,Administration,1,37963.58974358974,5436.153846153846,0,43399.743589743586
Data Scientist,Female,48,5,Masters,Management,1,56725.64102564102,5906.923076923077,0,62632.5641025641
Warehouse Associate,Female,57,4,PhD,Administration,2,41271.87575927231,3099.230769230769,1,44371.10652850308
Sales Associate,Male,30,4,Masters,Sales,5,62171.35209760726,6800.7692307692305,0,68972.1213283765
Data Scientist,Female,53,4,Masters,Engineering,5,71935.89743589744,3289.230769230769,1,75225.1282051282
Marketing Associate,Male,47,5,Masters,Operations,3,50777.39703331505,6191.538461538461,0,56968.93549485351
IT,Male,18,4,Masters,Administration,4,23995.773605878952,6420.7692307692305,1,30416.542836648183
Sales Associate,Female,35,4,PhD,Sales,1,44678.97435897435,5542.307692307692,0,50221.28205128205
Graphic Designer,Female,51,5,College,Operations,3,59354.35897435898,6616.923076923077,0,65971.28205128205
Warehouse Associate,Female,51,4,High School,Sales,3,58081.02564102563,3363.076923076923,1,61444.102564102555
Financial Analyst,Male,38,4,College,Management,5,66010.39165300086,5726.153846153846,0,71736.5454991547
Software Engineer,Male,24,4,Masters,Management,1,30431.0852844295,6616.923076923077,0,37048.00836135258
Software Engineer,Male,49,5,Masters,Administration,5,84917.85132498326,7425.384615384615,0,92343.23594036787
Sales Associate,Male,22,5,High School,Administration,1,19204.441190806807,7158.461538461538,0,26362.902729268346
Marketing Associate,Female,33,4,High School,Operations,2,25222.051282051285,3126.9230769230767,1,28348.974358974363
Financial Analyst,Male,36,5,Masters,Operations,1,36827.87174898518,5750,0,42577.87174898518
Marketing Associate,Female,27,4,High School,Management,1,18217.30769230769,3410.3846153846152,1,21627.692307692305
Driver,Male,39,5,High School,Engineering,4,58726.32808474802,6793.846153846153,1,65520.174238594176
Graphic Designer,Male,19,4,Masters,Sales,1,20142.51684815686,6824.615384615385,1,26967.132232772245
Software Engineer,Male,59,5,Masters,Engineering,1,58695.6203379801,5305.384615384615,0,64001.00495336472
Marketing Associate,Female,20,2,PhD,Sales,5,23626.923076923074,3181.9230769230767,1,26808.846153846152
IT,Female,29,4,Masters,Management,3,29070,6237.692307692308,0,35307.692307692305
Driver,Male,54,5,PhD,Administration,4,63693.91920310957,6867.692307692308,0,70561.61151080189
IT,Female,30,3,Masters,Engineering,2,42359.48717948718,3154.230769230769,1,45513.717948717946
IT,Female,42,5,College,Operations,2,44358.46153846154,6884.615384615385,0,51243.07692307692
Driver,Female,42,4,Masters,Management,4,55932.30769230769,6903.076923076923,0,62835.38461538461
Warehouse Associate,Female,50,4,Masters,Engineering,5,60872.820512820515,6520.7692307692305,0,67393.58974358975
IT,Female,43,4,PhD,Administration,5,66329.23076923077,3699.6153846153843,1,70028.84615384616
Software Engineer,Male,64,5,College,Sales,4,56513.934078040016,5825.384615384615,1,62339.31869342463
Manager,Male,23,4,PhD,Administration,1,33507.75763624635,6781.538461538461,0,40289.29609778481
Marketing Associate,Female,33,4,High School,Engineering,1,26723.076923076922,3285.7692307692305,1,30008.846153846152
Software Engineer,Male,39,4,High School,Sales,4,57838.000089792935,6090.7692307692305,1,63928.76932056216
Sales Associate,Male,58,5,PhD,Sales,2,67143.92412967603,5787.692307692308,1,72931.61643736834
Marketing Associate,Female,24,3,Masters,Operations,5,32499.23076923077,5703.076923076923,0,38202.307692307695
Marketing Associate,Female,37,4,PhD,Administration,3,45290.256410256414,5820.7692307692305,0,51111.02564102564
Graphic Designer,Male,53,5,High School,Operations,2,53211.65005251455,6298.461538461538,1,59510.11159097609
Software Engineer,Male,33,5,PhD,Administration,2,46032.41221613903,6488.461538461538,0,52520.87375460057
Software Engineer,Male,56,5,PhD,Administration,5,75070.96001947028,7099.230769230769,1,82170.19078870105
Financial Analyst,Female,52,5,High School,Engineering,2,55164.102564102555,5514.615384615385,0,60678.71794871794
Warehouse Associate,Male,40,5,Masters,Sales,4,55789.03252420989,6992.307692307692,1,62781.34021651759
Software Engineer,Male,43,4,PhD,Management,5,57928.12735336341,5995.384615384615,0,63923.511968748026
Data Scientist,Male,19,5,High School,Operations,2,19211.856901375628,7373.076923076923,0,26584.93382445255
Sales Associate,Female,53,4,Masters,Operations,5,69943.07692307692,5686.153846153846,0,75629.23076923077
Sales Associate,Male,44,5,Masters,Administration,2,54346.070886938876,7065.384615384615,1,61411.45550232349
Manager,Male,23,4,Masters,Sales,3,39199.97904006553,6038.461538461538,1,45238.44057852707
Driver,Female,51,5,College,Operations,1,41193.333333333336,5603.846153846153,0,46797.17948717949
IT,Male,20,4,PhD,Engineering,2,28334.516758403697,6545.384615384615,1,34879.901373788314
Financial Analyst,Male,47,5,College,Administration,2,37528.94581168821,6171.538461538461,0,43700.48427322667
Graphic Designer,Male,49,5,College,Management,4,67048.53277272465,6420.7692307692305,0,73469.30200349388
Software Engineer,Male,26,4,College,Administration,2,27696.431684106075,6120.7692307692305,0,33817.200914875306
Graphic Designer,Female,44,4,High School,Administration,4,52664.61538461538,5779.230769230769,0,58443.84615384615
Software Engineer,Male,18,3,Masters,Engineering,2,34723.61378498539,5680.7692307692305,1,40404.38301575462
Data Scientist,Female,32,3,College,Management,4,41150.256410256414,3466.153846153846,1,44616.41025641026
Sales Associate,Male,18,4,High School,Management,4,30503.998300686966,6928.461538461538,0,37432.459839148505
Warehouse Associate,Female,63,4,High School,Sales,2,46982.45510257495,2943.846153846154,1,49926.30125642111
Graphic Designer,Female,37,4,College,Engineering,4,47021.02564102564,7324.615384615385,0,54345.64102564102
Graphic Designer,Male,22,4,Masters,Sales,2,18664.24789571944,6020.7692307692305,1,24685.01712648867
Marketing Associate,Female,64,5,PhD,Sales,2,41200.83190566317,5599.230769230769,0,46800.06267489394
Graphic Designer,Female,39,4,PhD,Operations,5,62858.46153846154,6223.076923076923,0,69081.53846153847
Manager,Male,20,4,College,Sales,2,40589.222593550054,6306.923076923077,0,46896.14567047313
Financial Analyst,Female,39,5,College,Operations,1,40909.230769230766,5598.461538461538,0,46507.692307692305
Data Scientist,Female,37,3,Masters,Engineering,2,51092.30769230769,3157.6923076923076,1,54249.99999999999
Data Scientist,Female,39,3,PhD,Management,3,47548.205128205125,3194.6153846153843,1,50742.82051282051
Financial Analyst,Male,29,4,High School,Management,4,35548.987277171196,6413.846153846153,1,41962.83343101735
Software Engineer,Male,58,5,High School,Management,3,65035.298321339535,5538.461538461538,1,70573.75985980107
Driver,Male,38,5,PhD,Engineering,4,60485.66938552224,6906.153846153846,1,67391.82323167608
Marketing Associate,Female,64,4,PhD,Sales,5,57899.80626463753,2825.3846153846152,1,60725.19088002215
Warehouse Associate,Female,51,3,High School,Management,5,65382.564102564094,3012.3076923076924,1,68394.87179487178
Financial Analyst,Male,53,5,Masters,Administration,3,65422.97722529541,5695.384615384615,1,71118.36184068002
Graphic Designer,Male,46,5,High School,Engineering,4,65756.26796054437,7489.230769230769,1,73245.49872977514
Driver,Female,28,3,High School,Management,1,25449.23076923077,2763.4615384615386,1,28212.69230769231
IT,Male,52,5,Masters,Engineering,1,55663.47735227408,5653.846153846153,0,61317.323506120236
Financial Analyst,Female,48,4,Masters,Management,5,71377.4358974359,5600,0,76977.4358974359
IT,Female,34,5,College,Operations,1,29356.410256410258,6342.307692307692,0,35698.71794871795
Marketing Associate,Female,27,3,High School,Administration,5,26803.846153846152,3581.153846153846,1,30385
Graphic Designer,Male,18,4,High School,Sales,4,26483.34073672263,7145.384615384615,1,33628.72535210724
Graphic Designer,Female,31,4,College,Engineering,2,43131.28205128205,6442.307692307692,0,49573.58974358974
Software Engineer,Female,27,4,High School,Operations,1,26442.69230769231,5991.538461538461,0,32434.23076923077
Sales Associate,Male,29,3,Masters,Management,2,21812.639520496403,4881.538461538461,0,26694.177982034864
Driver,Female,41,5,Masters,Administration,1,39385.1282051282,6397.692307692308,0,45782.82051282051
Manager,Male,62,5,College,Administration,5,81088.4118487897,6030.7692307692305,0,87119.18107955894
Graphic Designer,Male,23,4,High School,Operations,1,15673.850902567428,5654.615384615385,0,21328.46628718281
Data Scientist,Male,29,4,High School,Engineering,3,24804.10778141029,5898.461538461538,1,30702.56931987183
Data Scientist,Male,38,5,High School,Sales,2,42411.484560345336,6411.538461538461,0,48823.0230218838
Driver,Male,34,4,College,Administration,5,47516.161002724606,5401.538461538461,1,52917.69946426307
Sales Associate,Female,62,5,College,Operations,2,41510.51642037104,5890,0,47400.51642037104
IT,Male,40,4,College,Administration,5,59386.170545629495,5993.076923076923,0,65379.24746870642
Software Engineer,Male,27,4,Masters,Engineering,1,24818.64579719516,5976.153846153846,0,30794.799643349004
Financial Analyst,Male,35,4,PhD,Operations,5,52749.4031910563,6123.076923076923,1,58872.48011413322
IT,Male,19,4,College,Engineering,3,30199.995868903898,7180.7692307692305,1,37380.765099673124
Software Engineer,Male,36,4,Masters,Engineering,5,78177.35226695296,7456.923076923076,1,85634.27534387604
Sales Associate,Male,23,3,High School,Engineering,3,33855.224599761656,5560.7692307692305,1,39415.99383053089
IT,Male,43,5,College,Operations,4,53334.831482966365,6992.307692307692,1,60327.13917527406
Graphic Designer,Female,48,4,College,Administration,4,57904.102564102555,5994.615384615385,0,63898.71794871794
Marketing Associate,Female,20,4,College,Sales,4,27805.384615384613,6622.307692307692,0,34427.692307692305
Graphic Designer,Male,27,4,College,Sales,5,44481.56746548651,6516.923076923077,0,50998.490542409585
Driver,Male,25,3,PhD,Engineering,5,37232.30832750934,5872.307692307692,1,43104.61601981703
Graphic Designer,Male,21,3,Masters,Engineering,4,27204.766575424717,6454.615384615385,0,33659.381960040104
Financial Analyst,Male,24,4,Masters,Administration,1,23343.942307807305,6551.538461538461,1,29895.480769345766
Data Scientist,Female,61,4,Masters,Management,2,43811.60278324452,2983.4615384615386,1,46795.06432170606
Manager,Male,52,5,High School,Operations,2,60204.26942208229,5579.230769230769,0,65783.50019131305
Data Scientist,Male,26,4,High School,Management,3,31133.962678835964,6499.230769230769,0,37633.19344806673
Financial Analyst,Female,30,4,High School,Operations,2,21856.923076923074,5630.7692307692305,0,27487.692307692305
Software Engineer,Male,29,4,High School,Engineering,1,28885.17004843153,6739.230769230769,0,35624.400817662296
IT,Female,46,4,PhD,Sales,3,57449.74358974359,3195,1,60644.74358974359
Driver,Male,49,4,College,Sales,5,61607.57218335128,5260.7692307692305,1,66868.34141412051
Warehouse Associate,Female,37,3,High School,Engineering,5,48380.51282051282,6161.538461538461,0,54542.05128205128
Sales Associate,Female,51,5,Masters,Management,1,40830.76923076923,6987.692307692308,0,47818.46153846153
Warehouse Associate,Female,28,4,Masters,Operations,1,25115.384615384613,5953.846153846153,0,31069.230769230766
Manager,Male,45,5,High School,Engineering,3,79334.87171035167,6841.538461538461,0,86176.41017189014
Warehouse Associate,Male,48,5,College,Sales,1,35874.42982330513,5442.307692307692,1,41316.737515612826
Data Scientist,Male,53,5,High School,Management,2,62759.041520045226,6411.538461538461,1,69170.5799815837
Data Scientist,Female,29,3,High School,Engineering,3,33146.53846153846,3504.230769230769,1,36650.76923076923
Warehouse Associate,Female,19,3,High School,Operations,1,15071.538461538461,3321.5384615384614,1,18393.076923076922
Driver,Male,18,3,PhD,Operations,3,17698.33201959741,6466.923076923077,0,24165.255096520486
IT,Male,28,4,High School,Operations,3,22239.10883440014,6084.615384615385,1,28323.724219015523
Data Scientist,Female,31,4,High School,Operations,2,29863.589743589742,6153.076923076923,0,36016.666666666664
Graphic Designer,Female,58,4,PhD,Sales,3,52059.51852944065,5981.538461538461,0,58041.05699097911
IT,Female,41,4,High School,Operations,3,52458.46153846154,3315.7692307692305,1,55774.230769230766
Driver,Male,36,4,PhD,Operations,3,46348.6012935608,6600.7692307692305,0,52949.370524330036
Sales Associate,Female,34,2,High School,Sales,4,56055.38461538462,2881.153846153846,1,58936.53846153846
Driver,Male,56,5,Masters,Sales,5,51106.59575995006,6452.307692307692,1,57558.90345225776
Financial Analyst,Female,30,4,Masters,Administration,5,59634.35897435898,7113.846153846153,0,66748.20512820513
Warehouse Associate,Male,37,4,High School,Management,3,45980.167212062035,6234.615384615385,1,52214.78259667742
IT,Male,28,4,High School,Administration,5,36151.38446983269,7036.153846153846,1,43187.53831598653
Warehouse Associate,Female,47,4,College,Administration,2,53719.48717948719,6065.384615384615,0,59784.871794871804
Graphic Designer,Male,44,4,High School,Sales,4,55206.90961749306,6414.615384615385,0,61621.52500210844
Data Scientist,Male,24,4,Masters,Sales,2,20218.025163341343,6056.153846153846,0,26274.179009495187
IT,Male,47,5,PhD,Operations,1,48092.72657250717,5362.307692307692,0,53455.034264814865
Financial Analyst,Male,33,5,Masters,Operations,1,35504.77187949634,6453.076923076923,0,41957.84880257326
